ID,Case Number,Date,Primary Type,Description,Location Description,Arrest,Domestic,District,Ward,Year,Updated On,Latitude,Longitude
12014684,JD189901,3/17/2020 21:30,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,16,45,2020,3/25/2020 15:45,41.95205195,-87.75466037
12571973,JE482457,12/19/2021 7:23,BATTERY,SIMPLE,SIDEWALK,TRUE,TRUE,9,15,2021,9/12/2022 16:45,41.81665685,-87.69568861
12012127,JD189186,3/18/2020 2:03,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,FALSE,TRUE,11,28,2020,3/25/2020 15:47,41.87711019,-87.72398972
12012330,JD189367,3/18/2020 8:50,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,25,35,2020,3/25/2020 15:47,41.92336897,-87.73163383
12014760,JD192130,3/18/2020 13:00,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),FALSE,FALSE,11,28,2020,3/25/2020 15:47,41.87926442,-87.7439709
12012667,JD189808,3/18/2020 17:35,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,TRUE,FALSE,15,28,2020,3/25/2020 15:47,41.87612811,-87.74511229
12015216,JD192637,3/16/2020 0:05,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2,3,2020,3/25/2020 15:45,41.80478063,-87.61803833
12016052,JD193500,3/18/2020 23:15,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,FALSE,FALSE,19,43,2020,3/25/2020 15:47,,
12012728,JD189837,3/18/2020 18:00,ROBBERY,ARMED - HANDGUN,STREET,FALSE,FALSE,10,24,2020,3/25/2020 15:47,41.86014843,-87.71280386
12012604,JD189554,3/18/2020 14:04,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,FALSE,TRUE,4,7,2020,3/25/2020 15:47,41.70754177,-87.56571438
12013018,JD189937,3/18/2020 21:27,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,SIDEWALK,FALSE,TRUE,9,15,2020,3/25/2020 15:47,41.81141869,-87.66869517
12012216,JD189259,3/18/2020 7:30,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,25,36,2020,3/25/2020 15:47,41.93327168,-87.79554344
12015324,JD191280,3/14/2020 14:45,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,25,29,2020,3/25/2020 15:45,41.91518726,-87.77542523
12013654,JD190696,3/18/2020 7:18,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER (SPECIFY),FALSE,FALSE,9,11,2020,3/25/2020 15:47,41.83211685,-87.643702
12012355,JD189434,3/18/2020 11:30,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,POLICE FACILITY / VEHICLE PARKING LOT,FALSE,TRUE,2,3,2020,3/25/2020 15:47,41.83061185,-87.62324737
12014889,JD191830,3/16/2020 15:20,THEFT,FROM BUILDING,OTHER (SPECIFY),FALSE,FALSE,5,34,2020,3/25/2020 15:45,41.67766176,-87.65287226
12014561,JD191956,3/18/2020 13:14,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,16,38,2020,3/25/2020 15:47,41.94577275,-87.83155747
12013948,JD191248,3/17/2020 21:00,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,4,8,2020,3/25/2020 15:45,41.75634935,-87.57731191
